CollectorVerbatim	Standarized_Collector
Acero, E.	Acero, Enrique
Acero, J.D.	Acero, J.D.
Acevedo-Luna, N.I.	Acevedo-Luna, N.I.
Acevedo, E. de	Acevedo, E. de
Acevedo, O.	Acevedo, O.
Acosta-Arteaga, C.E.	Acosta-Arteaga, C.E.
Acosta-Ortiz, Mónica	Acosta-Ortiz, Mónica
Acosta, D.	Acosta, D.
Acosta, M.A.	Acosta, M.A.
Acosta, M.G.	Acosta, M.G.
Acuña-Donatto, H.	Acuña-Donatto, H.
Adame, J.	Adame, J.
Adarme, M.L.D.	Adarme, M.L.D.
Adriana	Adriana
Afanador, S.	Afanador, S.
Agudelo, M.	Agudelo, M.
Aguirre-G., L.E.	Aguirre-G., L.E.
Aguirre, C.	Aguirre, C.
Aguirre, H.	Aguirre, H.
Aguirrezabal, I.	Aguirrezabal, I.
Alarcón, G.	Alarcón, G.
Alarcón, N.	Alarcón, N.
Albarracín, A.	Albarracín, A.
Alberto	Alberto
Albesiano, S.	Albeciano, Sofía
Alfonso-Cano, A.	Alfonso-Cano, A.
Alfonso, R.	Alfonso, R.
Alfonso, René	Alfonso, René
Allen, P.H.	Allen, P.H.
Alomoto, V.	Alomoto, V.
Alonso, F.	Alonso, F.
Alonso, N.	Alonso, N.
Alromar	Alromar
Alston, A.H.G.	Alston, A.H.G.
Alumnos	Alumnos
Alumnos Instituto de La Salle	Alumnos La Salle
Alumnos Liceo La Salle	Alumnos La Salle
Alumnos U. Salle	Alumnos La Salle
Álvarez, C.G.	Álvarez, C.G.
Álvarez, F.	Álvarez, F.
Álvarez, M.	Álvarez, M.
Alvear-P., M.	Alvear-Pacheco, Marcela
Alzate, L.	Alzate, L.
Amaya, J.	Amaya, J.
Amortegui, B.G.	Amortegui, B.G.
Andrade, Liliana	Andrade, Liliana
André, É.	André, É.
Ángel-R., M.	Ángel-R., M.
Angel, F.	Angel, F.
Angulo, A.	Angulo, A.
Anónimo	Anónimo
Antolínez, A.R.	Antolínez, A.R.
Anton, G.	Antonio, G.
Antonio, G.	Antonio, G.
Anzola, F.	Anzola, F.
Anzola, Nicolás	Anzola, Nicolás
Aparicio, R.	Aparicio, R.
Aponte, M.	Aponte, M.
Arai, K.	Arai, K.
Aranda, J.N.	Aranda, J.N.
Arango, A.	Arango, A.
Arango, D.	Arango, G.D.
Arango, G.D.	Arango, G.D.
Araque-M., J.	Araque-Molina, J.
Araque-Molina, J.	Araque-Molina, J.
Arboleda-R., A.	Arboleda-R., A.
Arcadio-Quintero, E.	Arcadio-Quintero, E.
Arenas, C.	Arenas, C.
Arenas, M.S.	Arenas, M.S.
Arévalo-Marín, Edna	Arévalo-Marín, Edna
Arévalo, A.	Arévalo, A.
Arévalo, L.E.	Arévalo, L.E.
Arias, A.	Arias, A.
Arias, H.	Arias, H.
Arias, M.A.	Arias, M.A.
Arias, O.	Arias, O.
Aristide, L.	Aristide, L.
Ariza, C.	Ariza, C.
Ariza, S.	Ariza, S.
Ariza, W.	Ariza, William
Arrieta, R.	Arrieta, R.
Arsene, F.	Arsene, F.
Arteaga de G., L.	Arteaga de G., L.
Arteaga, M.	Arteaga, M.
Avella, M.	Avella, M.
Ávila, F.	Ávila, Fabio Andrés
Ávila, M.	Ávila, M.
Ávila, Y.	Ávila, Y.
Aviles, H.	Aviles, H.
Azabache, L.	Azabache, L.
Báez, A.	Báez, A.
Ballesteros, F.	Ballesteros, F.
Ballesteros, O.	Ballesteros, O.
Balls, E.K.	Balls, E.K.
Baptiste, H.	Baptiste, H.
Baptiste, I.	Baptiste, I.
Baptiste, M.P.	Baptiste, M.P.
Baquero, M.P.	Baquero, M.P.
Barajas, P.	Barajas, P.
Barbosa-Parra, A.	Barbosa-Parra, A.
Barbosa, C.	Barbosa, C.
Barbosa, O.	Barbosa, O.
Barclay, A.	Barclay, Arthur Stewart
Barclay, A.S.	Barclay, Arthur Stewart
Barclay, H.G.	Barclay, Harriet George
Baresch, A.	Baresch, A.
Barkley-W., F.A.	Barkley-W., F.A.
Barkley, F.	Barkley-W., F.A.
Barragán-Fonseca, K.	Barragán-Fonseca, K.
Barragán, K.	Barragán-Fonseca, K.
Barragán, L.	Barragán, L.
Barrenechea, M.	Barrenechea, M.
Barrera, D.	Barrera, D.
Barrera, Germán	Barrera, Germán
Barrera, I.	Barrera, José Ignacio
Barrera, Ignacio	Barrera, José Ignacio
Barrera, J.L.	Barrera, J.L.
Barrera, José Ignacio	Barrera, José Ignacio
Barrera, L.	Barrera, L.A.
Barrera, L.A.	Barrera, L.A.
Barrera, M.	Barrera, M.
Barreto-P., A.	Barreto-P., A.
Barriga, R.	Barriga, R.
Barrington, D.S.	Barrington, D.S.
Barros, R.	Barros, R.
Baruffol, Martín	Baruffol, Martín
Bautista, L.	Bautista, L.
Bayón, R.	Bayón, R.
Becerra, J.	Becerra, J.
Becerra, R.B.	Becerra, R.B.
Bejarano, M.	Bejarano, M.V.
Bejarano, M.V.	Bejarano, M.V.
Bejarano, O.	Bejarano, O.
Bello, M.	Bello, M.A.
Bello, M.A.	Bello, M.A.
Bello, M.L.	Bello, M.L.
Beltrán, F.	Beltrán, F.
Beltrán, G.D.	Beltrán, G.D.
Beltrán, G.M.	Beltrán, G.M.
Benavides, Y.	Benavides, Y.
Benítez, C.	Benítez, C.
Bensman, R.	Bensman, R.
Bequaert, J.	Bequaert, J.
Bermúdez, E.	Bermúdez, E.
Bermúdez, H.	Bermúdez, H.
Bernal	Bernal
Bernal-G., R.A.	Bernal-González, C.A.
Bernal-González, C.A.	Bernal-González, C.A.
Bernal-M., H.Y.	Bernal-Malagón, H.Y.
Bernal-Medina, A.E.	Bernal-Medina, A.E.
Bernal-P., J.I.	Bernal-P., J.I.
Bernal-Rodríguez, M.	Bernal-Rodríguez, M.
Bernal, A.	Bernal, A.
Bernal, Carlos	Bernal, Carlos
Bernal, G.	Bernal, G.
Bernal, L.E.	Bernal, L.E.
Bernal, M.	Bernal, M.
Bernal, Mauricio	Bernal, Mauricio
Bernal, R.	Bernal, R.
Bernardi, L.	Bernardi, L.
Berrío-Romero, M.P.	Berrío-Romero, M.P.
Berry, P.E.	Berry, P.E.
Betancourt, C.	Betancourt, C.
Betancur, A.	Betancur, A.
Betancur, J.	Betancur, Julio
Betancur, J.C.	Betancur, Julio
Betancur, Julio	Betancur, Julio
Bischler, H.	Bischler, H.
Black, G.A.	Black, G.A.
Blanco-Z., M.T.	Blanco-Z., M.T.
Blanco, C.	Blanco, C.
Blanco, D.C.	Blanco, D.C.
Bohórquez-Cadena, K.	Bohórquez-Cadena, K.
Bohórquez, P.	Bohórquez, P.
Bolívar, L.	Bolívar, L.
Bonilla, D.	Bonilla, D.
Bonilla, Z.	Bonilla, Z.
Bonpland, A.J.A.	Bonpland, A.J.A.
Borda, I.E.	Borda, I.E.
Borda, M.	Borda, M.
Borsch, Thomas	Borsch, Thomas
Botero	Botero
Botero-Baena, N.	Botero-Baena, N.
Botero, Judith	Botero, Judith
Bouthillette, G.R.	Bouthillette, G.R.
Bowman	Bowman
Bravo, N.F.	Bravo, N.F.
Bricker, W.G.	Bricker, W.G.
Bristow, J.M.	Bristow, J.M.
Buitrago, C.	Buitrago, C.
Buitrago, J.	Buitrago, J.
Bula, P.	Bula, P.
C. L. CH. L.	C. L. CH. L.
C.E.	C.E.
Caballero, E.	Caballero, E.
Caballero, L.M.	Caballero, L.M.
Caballero, M.	Caballero, L.M.
Caballero, Y.	Caballero, Y.
Cabeza, G.	Cabeza, G.
