TaxonID,Name,Author,CheckPriority,Distribution,Parent,AcceptedName,Authority,Protologue,Comment
1,Aa,,,,2403.0,,,,
2,Aa colombiana,Schltr.,,,1.0,,,,
3,Aa hartwegii,Garay,,,1.0,,,,
4,Aa leucantha,(Rchb.f.) Schltr.,,,1.0,,,,
5,Aa maderoi,Schltr.,,,1.0,,,,
6,Aa paleacea,(Kunth) Rchb.f.,,,1.0,,,,
7,Abatia parviflora,Ruiz & Pav.,,,3992.0,,,,
8,Abelia × grandiflora,(Rovelli ex André) Rehder,,,3993.0,,,,
9,Abutilon,,,,2081.0,,,,
10,Abutilon grandifolium,(Willd.) Sweet,,,9.0,,,,
11,Abutilon hybridum,Voss,,,9.0,,,,
12,Abutilon insigne,Planch.,,,9.0,,,,
13,Abutilon pictum,(Gillies ex Hook.) Walp.,,,9.0,,,,
14,Abutilon × hybridum,Voss,,,9.0,,,,
15,Acacia,,,,1343.0,,,,
16,Acacia baileyana,F.Muell.,,,15.0,,,,
17,Acacia calamifolia,Sweet ex Lindl.,,,15.0,,,,
18,Acacia cultriformis,A.Cunn. ex G.Don,,,15.0,,,,
19,Acacia dealbata,Link,,,15.0,,,,
20,Acacia decurrens,(J.C.Wendl.) Willd.,,,15.0,,,,
21,Acacia floribunda,(Vent.) Willd.,,,15.0,,,,
22,Acacia longifolia,(Andrews) Willd.,,,15.0,,,,
23,Acacia melanoxylon,R.Br.,,,15.0,,,,
24,Acacia podalyriifolia,A.Cunn. ex G.Don,,,15.0,,,,
25,Acacia pravissima,F.Muell.,,,15.0,,,,
26,Acacia retinodes,Schltdl.,,,15.0,,,,
27,Acacia saligna,(Labill.) H.L.Wendl.,,,15.0,,,,
28,Acacia stictophylla,Court ex Maslin & D.J.Murphy,,,15.0,,,,
29,Acacia verticillata,(L'Hér.) Willd.,,,15.0,,,,
30,Acaciella angustissima,(Mill.) Britton & Rose,,,3994.0,,,,
31,Acaena,,,,3033.0,,,,
32,Acaena cylindristachya,Ruiz & Pav.,,,31.0,,,,
33,Acaena elongata,L.,,,31.0,,,,
34,Acaena ovalifolia,Ruiz & Pav.,,,31.0,,,,
35,Acalypha,,,,1335.0,,,,
36,Acalypha chamaedrifolia,(Lam.) Müll.Arg.,,,35.0,,,,
37,Acalypha macrostachya,Jacq.,,,35.0,,,,
38,Acanthaceae,,,,3801.0,,,,
39,Acanthus,,,,38.0,,,,
40,Acanthus mollis,L.,,,39.0,,,,
41,Acaulimalva purpurea,(A.W.Hill) Krapov.,,,3995.0,,,,
42,Acca sellowiana,(O.Berg) Burret,,,3996.0,,,,
43,Acer,,,,3128.0,,,,
44,Acer negundo,L.,,,43.0,,,,
45,Achillea millefolium,L.,,,3997.0,,,,
46,Achyrocline,,,,315.0,,,,
47,Achyrocline alata,DC.,,,46.0,,,,
48,Achyrocline bogotensis,DC.,,,46.0,,,,
49,Achyrocline crassiceps,S.F.Blake,,,46.0,,,,
50,Achyrocline lehmannii,Hieron.,,,46.0,,,,
51,Achyrocline satureioides,(Lam.) DC.,,,46.0,,,,
52,Achyrocline tomentosa,Rusby,,,46.0,,,,
53,Aciachne acicularis,Laegaard,,,3998.0,,,,
54,Aciachne flagellifera,Laegaard,,,3998.0,,,,
55,Aciachne pulvinata,,,,3998.0,,,,
56,Acianthera decurrens,(Poepp. & Endl.) Pridgeon & M.W.Chase,,,3999.0,,,,
57,Acianthera polystachya,(Ruiz & Pav.) Pupulin,,,3999.0,,,,
58,Acineta superba,Rchb.,,,4000.0,,,,
59,Acinodendron plethoricum,(Naudin) Kuntze,,,4001.0,,,,
60,Acmella,,,,315.0,,,,
61,Acmella brachyglossa,Cass.,,,60.0,,,,
62,Acmella ciliata,(Kunth) Cass.,,,60.0,,,,
63,Acmella mutisii,(Kunth) Cass.,,,60.0,,,,
64,Acmella oppositifolia,(Lam.) R.K.Jansen,,,60.0,,,,
65,Acmella uliginosa,(Sw.) Cass.,,,60.0,,,,
66,Acrostichum aureum,L.,,,4002.0,,,,
67,Adiantum,,,,2934.0,,,,
68,Adiantum concinnum,Humb. & Bonpl. ex Willd.,,,67.0,,,,
69,Adiantum patens,Willd.,,,67.0,,,,
70,Adiantum petiolatum,Desv.,,,67.0,,,,
71,Adiantum poiretii,Wikstr.,,,67.0,,,,
72,Adiantum raddianum,C.Presl,,,67.0,,,,
73,Aechmea veitchii,Baker,,,4003.0,,,,
74,Aegiphila alba,Moldenke,,,4004.0,,,,
75,Aegiphila bogotensis,(Spreng.) Moldenke,,,4004.0,,,,
76,Aeonium canariense,Webb & Berthel.,,,4005.0,,,,
77,Aetanthus,,,,1995.0,,,,
78,Aetanthus colombianus,A.C.Sm.,,,77.0,,,,
79,Aetanthus mutisii,Engl.,,,77.0,,,,
80,Agapanthus,,,,188.0,,,,
81,Agapanthus africanus,(L.) Hoffmanns.,,,80.0,,,,
82,Agapanthus praecox,Willd.,,,80.0,,,,
83,Agave,,,,3859.0,,,,
84,Agave americana,L.,,,83.0,,,,
85,Ageratina,,,,315.0,,,,
86,Ageratina ampla,(Benth.) R.M.King & H.Rob.,,,85.0,,,,
87,Ageratina angustifolia,(Kunth) R.M.King & H.Rob.,,,85.0,,,,
88,Ageratina apollinairei,(B.L.Rob.) R.M.King & H.Rob.,,,85.0,,,,
89,Ageratina arbutifolia,(Benth.) R.M.King & H.Rob.,,,85.0,,,,
90,Ageratina aristei,(B.L.Rob.) R.M.King & H.Rob.,,,85.0,,,,
91,Ageratina asclepiadea,(L.f.) R.M.King & H.Rob.,,,85.0,,,,
92,Ageratina baccharoides,(Kunth) R.M.King & H.Rob.,,,85.0,,,,
93,Ageratina boyacensis,R.M.King & H.Rob.,,,85.0,,,,
94,Ageratina elegans,(Kunth) R.M.King & H.Rob.,,,85.0,,,,
95,Ageratina fastigiata,(Kunth) R.M.King & H.Rob.,,,85.0,,,,
96,Ageratina flaviseta,(B.L.Rob.) R.M.King & H.Rob.,,,85.0,,,,
97,Ageratina glyptophlebia,(B.L.Rob.) R.M.King & H.Rob.,,,85.0,,,,
98,Ageratina gracilis,(Kunth) R.M.King & H.Rob.,,,85.0,,,,
99,Ageratina gynoxoides,(Wedd.) R.M.King & H.Rob.,,,85.0,,,,
100,Ageratina latipes,(Benth.) R.M.King & H.Rob.,,,85.0,,,,
101,Ageratina pichinchensis,(Kunth) R.M.King & H.Rob.,,,85.0,,,,
102,Ageratina popayanensis,(Hieron.) R.M.King & H.Rob.,,,85.0,,,,
103,Ageratina pseudochilca,(Benth.) R.M.King & H.Rob.,,,85.0,,,,
104,Ageratina psilodora,(B.L.Rob.) R.M.King & H.Rob.,,,85.0,,,,
105,Ageratina theaefolia,(Benth.) R.M.King & H.Rob.,,,85.0,,,,
106,Ageratina tinifolia,(Kunth) R.M.King & H.Rob.,,,85.0,,,,
107,Ageratina vacciniaefolia,(Benth.) R.M.King & H.Rob.,,,85.0,,,,
108,Ageratum conyzoides,L.,,,4006.0,,,,
109,Ageratum houstonianum,Mill.,,,4006.0,,,,
110,Aglaonema commutatum,Schott,,,4007.0,,,,
111,Agropyron,,,,2833.0,,,,
112,Agrostis,,,,2833.0,,,,
113,Agrostis araucana,,,,112.0,,,,
114,Agrostis bacillata,Hack.,,,112.0,,,,
115,Agrostis boyacensis,Swallen & García-Barr.,,,112.0,,,,
116,Agrostis breviculmis,Hitchc.,,,112.0,,,,
117,Agrostis foliata,Hook.f.,,,112.0,,,,
118,Agrostis gelida,Trin.,,,112.0,,,,
119,Agrostis mertensii,Trin.,,,112.0,,,,
120,Agrostis perennans,(Walter) Tuck.,,,112.0,,,,
121,Agrostis stolonifera,L.,,,112.0,,,,
122,Agrostis tolucensis,Kunth,,,112.0,,,,
123,Agrostis trichoides,(Kunth) Roem. & Schult.,,,112.0,,,,
124,Agrostis turrialbae,Mez,,,112.0,,,,
125,Aiouea,,,,3861.0,,,,
126,Aiouea dubia,(Kunth) Mez,,,125.0,,,,
127,Aizoaceae,,,,3811.0,,,,
128,Ajuga genevensis,L.,,,4008.0,,,,
129,Ajuga reptans,L.,,,4008.0,,,,
130,Alansmia,,,,2859.0,,,,
131,Alansmia lanigera,(Desv.) Moguel & M.Kessler,,,130.0,,,,
132,Alansmia senilis,(Fée) Moguel & M.Kessler,,,130.0,,,,
133,Alansmia variabilis,(Mett. ex Kuhn) Moguel & M.Kessler,,,130.0,,,,
134,Albizia,,,,1343.0,,,,
135,Albuca bracteata,(Thunb.) J.C.Manning & Goldblatt,,,4009.0,,,,
136,Alcea rosea,L.,,,4010.0,,,,
137,Alchemilla,,,,3033.0,,,,
138,Alchemilla aphanoides,Mutis ex L.f.,,,137.0,,,,
139,Alchornea bogotensis,Pax & K.Hoffm.,,,4011.0,,,,
