ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
0,Cirsium,1.0,1398000.0,Cirsium,1.0,genus,,,,Mill.,Asteraceae,Cirsium,Cirsium,1.0,,,,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-4000008373,,Y,Accepted,Cirsium,,Mill.,1398000.0,genus,https://www.worldfloraonline.org/taxon/wfo-4000008373,,Asteraceae,1.0,1.0,wfo,0.0,
1,Cotula australis (Spreng.) Hook.f.,0.92572,31739.0,Cotula australis,1.0,species,(Spreng.) Hook.f.,Hook.f.,0.6286,Hook.f.,Asteraceae,Cotula,Cotula,1.0,australis,australis,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0000031494,,Y,Accepted,Cotula australis,Cotula australis,Hook.f.,31739.0,species,https://www.worldfloraonline.org/taxon/wfo-0000031494,,Asteraceae,1.0,1.0,wfo,0.0,
2,Munnozia senecionidis Benth.,1.0,120649.0,Munnozia senecionidis,1.0,species,Benth.,Benth.,1.0,Benth.,Asteraceae,Munnozia,Munnozia,1.0,senecionidis,senecionidis,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0000121912,,Y,Accepted,Munnozia senecionidis,Munnozia senecionidis,Benth.,120649.0,species,https://www.worldfloraonline.org/taxon/wfo-0000121912,,Asteraceae,1.0,1.0,wfo,0.0,
3,Solanum stellatiglandulosum Bitter,1.0,1019242.0,Solanum stellatiglandulosum,1.0,species,Bitter,Bitter,1.0,Bitter,Solanaceae,Solanum,Solanum,1.0,stellatiglandulosum,stellatiglandulosum,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0001031378,,Y,Accepted,Solanum stellatiglandulosum,Solanum stellatiglandulosum,Bitter,1019242.0,species,https://www.worldfloraonline.org/taxon/wfo-0001031378,,Solanaceae,1.0,1.0,wfo,0.0,
4,Thelypteris elegantula (Sodiro) Alston,1.0,1105870.0,Thelypteris elegantula,1.0,species,(Sodiro) Alston,(Sodiro) Alston,1.0,(Sodiro) Alston,Aspleniaceae,Thelypteris,Thelypteris,1.0,elegantula,elegantula,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0001120487,,Y,Accepted,Thelypteris elegantula,Thelypteris elegantula,(Sodiro) Alston,1105870.0,species,https://www.worldfloraonline.org/taxon/wfo-0001120487,,Aspleniaceae,1.0,1.0,wfo,0.0,
5,Ageratina vacciniifolia (Benth.) R.M.King & H.Rob.,0.9802015092588,9840.0,Ageratina vacciniaefolia,0.9752518865735,species,(Benth.) R.M.King & H.Rob.,(Benth.) R.M.King & H.Rob.,1.0,(Benth.) R.M.King & H.Rob.,Asteraceae,Ageratina,Ageratina,1.0,vacciniifolia,vacciniaefolia,0.85714285714286,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0000009319,,Y,Accepted,Ageratina vacciniaefolia,Ageratina vacciniaefolia,(Benth.) R.M.King & H.Rob.,9840.0,species,https://www.worldfloraonline.org/taxon/wfo-0000009319,,Asteraceae,1.0,1.0,wfo,0.0,
6,Miconia biappendiculata (Naudin) L.Uribe,1.0,1262044.0,Miconia biappendiculata,1.0,species,(Naudin) L.Uribe,(Naudin) L.Uribe,1.0,(Naudin) L.Uribe,Melastomataceae,Miconia,Miconia,1.0,biappendiculata,biappendiculata,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0001279112,,Y,Accepted,Miconia biappendiculata,Miconia biappendiculata,(Naudin) L.Uribe,1262044.0,species,https://www.worldfloraonline.org/taxon/wfo-0001279112,,Melastomataceae,1.0,1.0,wfo,0.0,
7,Oreopanax mutisianus (Kunth) Decne. & Planch.,1.0,255416.0,Oreopanax mutisianus,1.0,species,(Kunth) Decne. & Planch.,(Kunth) Decne. & Planch.,1.0,(Kunth) Decne. & Planch.,Araliaceae,Oreopanax,Oreopanax,1.0,mutisianus,mutisianus,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0000260370,,Y,Accepted,Oreopanax mutisianus,Oreopanax mutisianus,(Kunth) Decne. & Planch.,255416.0,species,https://www.worldfloraonline.org/taxon/wfo-0000260370,,Araliaceae,1.0,1.0,wfo,0.0,
8,Pentacalia vaccinioides (Kunth) Cuatrec.,1.0,116470.0,Pentacalia vaccinioides,1.0,species,(Kunth) Cuatrec.,(Kunth) Cuatrec.,1.0,(Kunth) Cuatrec.,Asteraceae,Pentacalia,Pentacalia,1.0,vaccinioides,vaccinioides,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0000117662,,Y,Synonym,Monticalia vaccinioides,Monticalia vaccinioides,(Kunth) C.Jeffrey,74141.0,species,https://www.worldfloraonline.org/taxon/wfo-0000074867,,Asteraceae,1.0,1.0,wfo,0.0,
9,Viburnum triphyllum Benth.,1.0,1273194.0,Viburnum triphyllum,1.0,species,Benth.,Benth.,1.0,Benth.,Viburnaceae,Viburnum,Viburnum,1.0,triphyllum,triphyllum,1.0,,,,,,,,,,,,https://www.worldfloraonline.org/taxon/wfo-0001290645,,Y,Accepted,Viburnum triphyllum,Viburnum triphyllum,Benth.,1273194.0,species,https://www.worldfloraonline.org/taxon/wfo-0001290645,,Viburnaceae,1.0,1.0,wfo,0.0,
